seq,latency_m2m_ns,callback_jitter,publish_jitter
3004,14627000,14025000,314000
3005,15607000,14971000,302000
3006,15615000,15016000,302000
3007,14586000,13964000,290000
3008,14623000,14036000,298000
3009,14578000,13960000,286000
3010,14631000,14049000,306000
3011,14590000,13963000,298000
3012,14635000,14041000,314000
3013,15619000,14983000,306000
3014,14611000,14004000,302000
3015,14619000,13996000,310000
3016,14619000,14009000,306000
3017,14619000,13984000,306000
3018,15619000,15011000,302000
3019,14606000,13980000,298000
3020,14635000,14037000,310000
3021,14590000,13955000,294000
3022,14639000,14045000,310000
3023,14587000,13951000,290000
3024,14623000,14032000,298000
3025,14619000,13988000,302000
3026,14615000,14012000,298000
3027,13933000,13310000,301000
3028,14292000,13690000,298000
3029,14602000,13980000,298000
3030,14635000,14037000,310000
3031,15619000,14983000,298000
3032,14623000,14013000,306000
3033,14586000,13955000,290000
3034,15657000,15066000,310000
3035,15582000,14938000,290000
3036,15653000,15062000,314000
3037,15610000,14954000,290000
3038,14607000,14008000,298000
3039,14611000,13988000,298000
3040,14619000,14021000,302000
3041,14619000,13991000,306000
3042,14611000,14000000,298000
3043,15611000,14988000,298000
3044,14611000,14012000,294000
3045,15598000,14980000,298000
3046,14635000,14037000,306000
3047,14599000,13967000,302000
3048,15648000,15046000,302000
3049,15611000,14974000,298000
3050,14623000,14013000,306000
3051,15618000,14987000,302000
3052,14619000,14005000,299000
3053,15593000,14971000,298000
3054,15648000,15050000,306000
3055,14590000,13950000,294000
3056,14615000,14020000,294000
3057,14619000,14000000,306000
3058,14619000,14009000,302000
3059,15619000,14991000,306000
3060,13953000,13343000,314000
3061,14275000,13641000,298000
3062,14623000,14025000,302000
3063,14602000,13975000,298000
3064,15615000,15017000,291000
3065,14598000,13979000,298000
3066,14627000,14029000,302000
3067,14607000,13979000,302000
3068,14627000,14025000,306000
3069,14619000,13987000,306000
3070,14615000,14004000,298000
3071,14590000,13968000,294000
3072,14631000,14037000,302000
3073,14589000,13963000,290000
3074,15631000,15041000,302000
