seq,latency_m2m_ns,callback_jitter,publish_jitter
471,13752000,101168000,11267000
472,12588000,98836000,10227000
473,13572000,100984000,11563000
474,12587000,99015000,10594000
475,12577000,99990000,10182000
476,12572000,99995000,10176000
477,12573000,100001000,10129000
478,12564000,99991000,10190000
479,12572000,100008000,10135000
480,12569000,99997000,10409000
481,13665000,101095000,11136000
482,21996000,108332000,10669000
483,12577000,90576000,9951000
484,12675000,100103000,10160000
485,12577000,99901000,10163000
486,12573000,99997000,10164000
487,12582000,100009000,10178000
488,12572000,99990000,9963000
489,14588000,102016000,11862000
490,12583000,97994000,10056000
491,13673000,101090000,11525000
492,12584000,98912000,10486000
493,14571000,101987000,12021000
494,12581000,98009000,10701000
495,14588000,102007000,12167000
496,12578000,97991000,10426000
497,13580000,101002000,10933000
498,12664000,99084000,10241000
499,12938000,100274000,11842000
500,12576000,99638000,10517000
501,13665000,101089000,11164000
502,13591000,99925000,11577000
503,13589000,99998000,11166000
504,12592000,99004000,10408000
505,14576000,101984000,12290000
506,12580000,98004000,10414000
507,14588000,102008000,12308000
508,13583000,98994000,11047000
509,13580000,99998000,11767000
510,12576000,98996000,10155000
511,15677000,103101000,12896000
512,13600000,97923000,11565000
513,14600000,100996000,11861000
514,12603000,98006000,10740000
515,14584000,101981000,12352000
516,12584000,98001000,10391000
517,14588000,102004000,11942000
518,12576000,97988000,10136000
519,14592000,102016000,12444000
520,13588000,98996000,11534000
521,15682000,102094000,13356000
522,12577000,96894000,10578000
523,14600000,102019000,12128000
524,13588000,98989000,10998000
525,14588000,101000000,11916000
526,13568000,98980000,11286000
527,14580000,101012000,12147000
528,12599000,98018000,10395000
529,14585000,101986000,12772000
530,13568000,98984000,11311000
531,14595000,101027000,12801000
532,13584000,98989000,11249000
533,14588000,101003000,12102000
534,13595000,99007000,11056000
535,15596000,102001000,13019000
536,13581000,97985000,11406000
537,15587000,102006000,13164000
538,12588000,97002000,10118000
539,15596000,103007000,13318000
540,13584000,97989000,11371000
541,15588000,102003000,13464000
542,13588000,98001000,11384000
543,14596000,101007000,12649000
544,13585000,98989000,11383000
545,15592000,102007000,13143000
