seq,rtt_h2m_ns
845,10573747
846,9810305
847,10514028
848,10506299
849,9216318
850,10294298
851,9720106
852,9127444
853,10443308
854,10535897
855,10405365
856,10403215
857,10442741
858,9634198
859,9891753
860,10611676
861,9702673
862,10461304
863,10594570
864,10715032
865,10804644
866,10255944
867,9952285
868,10655141
869,10628081
870,10105122
871,9734539
872,10585496
873,10620892
874,9586539
875,10420566
876,10609320
877,9766347
878,10566362
879,10432327
880,10619877
881,9926030
882,9145766
883,9587711
884,9767129
885,9394885
886,10072452
887,10125349
888,9688652
889,10070125
890,9417642
891,10542450
892,9688911
893,10544055
894,10564119
895,10518028
896,10372034
897,9802567
898,10331287
899,10216382
900,9663897
901,10823919
902,9691465
903,10488628
904,10667342
905,10639281
906,10306374
907,10129377
908,10593296
909,9750003
910,10261205
911,10392876
912,9151791
913,9462349
914,10312397
915,10608634
916,10482763
917,9802620
918,10509579
919,10426335
920,10481972
921,10466409
922,9591348
923,10288427
924,10228125
925,10305762
926,10281583
927,10267482
928,9700291
929,10453141
930,10269159
931,10496837
932,9775102
933,9754652
934,9974030
935,9760790
936,10275571
937,10461402
938,9480193
939,10398343
940,10596413
941,10576256
942,9647354
943,10516376
944,9590441
945,10431133
946,9719814
947,10493676
948,10596640
949,9986693
950,10602358
951,9840648
952,10612382
953,10567624
954,9709234
955,10516989
956,9698247
957,10952201
958,9871276
959,9899159
960,10176992
961,10020992
962,10339688
963,10606945
964,9457945
965,10585879
966,10510983
967,10596827
968,10560039
969,10586955
970,10250447
971,9803090
972,9258382
973,10620475
974,10597853
975,10533520
976,9658847
977,10477423
978,9919962
979,10597489
980,9840696
981,9979779
982,10230979
983,9700292
984,9901713
985,10413816
986,9472426
987,10415115
988,10520510
989,10498116
990,9869933
991,9690296
992,10384140
993,9613547
994,10306036
995,9904981
996,9686611
997,10432061
998,9589499
999,9581934
1000,10396855
1001,10666729
1002,8947744
1003,10422003
1004,10677673
1005,9949755
1006,10687772
1007,10078966
1008,10766652
1009,10920058
1010,10504104
1011,9997215
1012,10085158
1013,10554670
1014,10657400
1015,10595608
1016,10645275
1017,10431560
1018,10718434
1019,10713777
1020,9433317
1021,10517875
1022,10523900
1023,9988977
1024,10006545
1025,10822373
1026,10207533
1027,10003118
1028,10503885
1029,10373487
1030,10346571
1031,10464163
1032,10534152
1033,10793073
1034,10201276
1035,10943921
1036,10604149
1037,10680297
1038,10161198
1039,10529371
1040,10271416
1041,10804507
1042,10129993
1043,10520111
1044,10320488
1045,10325195
1046,10181986
1047,10011292
1048,10403611
1049,10332704
1050,10250070
1051,10623160
1052,10712341
1053,10192811
1054,10427582
1055,10474773
1056,10424268
1057,10233800
1058,10530040
1059,10371771
1060,10304717
1061,10476233
1062,10060318
1063,10472953
1064,10238612
1065,10509592
1066,10315105
1067,10495532
1068,10029270
1069,10351024
1070,9838614
1071,10014251
1072,10379258
1073,10257534
1074,10114440
1075,10743892
1076,10207961
1077,10101548
1078,10548670
1079,10562732
1080,10535919
1081,10590025
1082,10232051
1083,10198592
1084,10482366
1085,9170984
1086,10157103
1087,10472368
1088,10981399
1089,9929017
1090,10206864
1091,10305965
1092,9015517
1093,10796432
1094,10705536
1095,10438724
1096,10315765
1097,10363731
1098,10328361
1099,10567929
1100,10583278
1101,10304240
1102,10355979
1103,10320951
1104,10355677
1105,10597891
1106,10094599
1107,10034818
1108,10395768
1109,9748091
1110,11057137
1111,10478564
1112,10079225
1113,10390938
1114,10299959
1115,9047186
1116,10664641
1117,10074102
1118,10346274
1119,10596912
1120,10697719
1121,10404450
1122,9067441
1123,10548263
1124,10060906
1125,9949853
1126,10279404
1127,10207687
1128,10279361
1129,10249333
1130,10339892
1131,10534045
1132,11221694
1133,10667744
1134,10735260
1135,10024922
1136,10490521
1137,11288812
1138,10128012
1139,10564150
1140,10352591
1141,9921646
1142,10378958
1143,10135145
1144,10471210
1145,10310724
1146,9152820
1147,11494027
1148,10175186
1149,11243830
1150,11150189
1151,9452507
1152,10113920
1153,10484059
1154,10311708
1155,10221072
1156,10609661
1157,10758906
1158,10518019
1159,10566980
1160,10560517
1161,10648338
1162,8916012
1163,10613305
1164,10659378
1165,10557318
1166,10518751
1167,10193766
1168,10531715
1169,10878357
1170,9959754
1171,10046013
1172,10751217
1173,10342783
1174,10474548
1175,9067091
1176,10539018
1177,10447032
1178,9280700
1179,10500854
1180,8986837
1181,9823380
1182,9076481
1183,11276782
1184,10361681
1185,11372539
1186,10113465
1187,10482524
1188,10307409
1189,10558642
1190,10381768
1191,10490679
1192,11477801
1193,10507193
1194,9559552
1195,11121757
1196,10428996
1197,10516169
1198,10581580
1199,10528027
1200,10441465
1201,11772843
1202,10294785
1203,10399739
1204,10392980
1205,10871607
1206,10571042
1207,10310473
1208,10065421
1209,10472697
1210,10416815
1211,10742585
1212,9314719
1213,9627169
1214,11280064
1215,9974624
1216,10161080
1217,10017079
1218,10386683
1219,10283460
1220,10417545
1221,11413551
1222,10584162
1223,10499288
1224,10485343
1225,10519330
1226,10330749
1227,10108297
1228,10475790
1229,10359471
1230,10356911
1231,10014985
1232,11009262
1233,10257407
1234,11460953
1235,10343265
1236,11384247
1237,10198176
